"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel","type"
"dgp63","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.112327941765921,0.85,0.345697168049714,"tuned"
"dgp63","BART_ps-bart",NA,NA,NA,NA,NA,NA,NA,NA,0.126267905941837,0.95,0.495805343731353,"default"
"dgp63","BART_ps-glm",NA,NA,NA,NA,NA,NA,NA,NA,0.121955860241805,0.95,0.485566838091904,"default"
"dgp63","BART_s-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.111549117450712,0.95,0.461635351433018,"default"
"dgp63","BART_t-learner",NA,NA,NA,NA,NA,NA,NA,NA,0.104458168251854,0.95,0.482398482539963,"default"
"dgp63","aipw",NA,NA,NA,NA,NA,NA,NA,NA,0.111138428804163,0.95,0.401293688683514,"default"
"dgp63","bart_ps-bart",1,75,3,0.99,NA,NA,NA,NA,0.117448340662172,1,0.525272918391947,"tuned"
"dgp63","bart_ps-glm",1,75,3,0.9,NA,NA,NA,NA,0.108053456814764,1,0.498236469033852,"tuned"
"dgp63","bart_s-learner",1,75,10,0.75,NA,NA,NA,NA,0.0989779149167734,1,0.467414088102948,"tuned"
"dgp63","bart_t-learner",3,75,3,0.99,NA,NA,NA,NA,0.102664266264517,0.95,0.459096635039547,"tuned"
"dgp63","causal_forest",NA,NA,NA,NA,5,0.5,26,NA,0.140490748549398,0.85,0.431169765988289,"default"
"dgp63","causal_forest",NA,NA,NA,NA,50,0.3,10,NA,0.121193580329898,0.8,0.366630326239858,"tuned"
